policy_uid,annotation_id,segment_id,annotator_id,pretty_print_string
186,275,0,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,619,0,82,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,1332,0,88,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,276,1,84,"The policy makes generic security statements, e.g., ""we protect your data"" or ""we use technology/encryption to protect your data""."
186,620,1,82,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,1333,1,88,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,277,2,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,621,2,82,"When a change of an unspecified nature is made to the privacy policy, users are notified in an unspecified manner. Users' choices regarding policy changes are not mentioned or are unclear."
186,622,2,82,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,1334,2,88,"When a change of an unspecified nature is made to the privacy policy, the policy date is updated or information about the change is posted as part of the policy. Users' choices regarding policy changes are not mentioned or are unclear."
186,278,3,84,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,623,3,82,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,1335,3,88,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,279,4,84,"The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way, and your data is identifiable."
186,280,4,84,"The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way, and your data is aggregated or anonymized."
186,624,4,82,"The text introduces the policy, a section, or a group of practices, but it does not mention a specific practice."
186,625,4,82,The site collects your generic personal information for an unspecified purpose. Collection happens in an unspecified way.
186,626,4,82,"The site collects your unspecified information for an unspecified purpose. Collection happens in an unspecified way, and your data is aggregated or anonymized."
186,1336,4,88,"The site collects your generic personal information for an unspecified purpose. Collection happens on the website, and your data is identifiable."
186,1337,4,88,"The site collects your unspecified information for an unspecified purpose. Collection happens on the website, and your data is aggregated or anonymized."
186,281,5,84,The site collects your unspecified information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way for users with accounts.
186,282,5,84,The site collects your demographic information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way for users with accounts.
186,283,5,84,The site collects your location information for an unspecified purpose. Collection happens when you explicitly provide information in an unspecified way for users with accounts.
186,627,5,82,The site collects your contact information for a basic service or feature. Collection happens when you explicitly provide information in an unspecified way for users with accounts.
186,1338,5,88,"The site collects your contact information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website for users with accounts, and your data is identifiable. You can opt in for data collection."
186,1339,5,88,"The site collects your demographic information for an additional (non-basic) service or feature. Collection happens when you explicitly provide information on the website for users with accounts, and your data is identifiable. You can opt in for data collection."
186,284,6,84,The site collects your financial information for an unspecified purpose. Collection happens when you explicitly provide information on the website.
