url,alexa,class,id,quote,quoteDoc,quoteText,title,source,binding,score,point,case
https://www.microsoft.com,47.0,,833,,Terms of Use,"Microsoft reserves the right at all times to disclose any information as Microsoft deems necessary to satisfy any applicable law, regulation, legal process or governmental request, or to edit, refuse to post or to remove any information or materials, in whole or in part, in Microsoft's sole discretion.",No promise to inform of government requests,https://www.microsoft.com/en-us/legal/intellectualproperty/copyright/default.aspx,True,50.0,bad,This service reserves the right to disclose your personal information without notifying you
https://www.microsoft.com,47.0,,1248,,Services Agreement,"The application is licensed, not sold.This agreement only gives you some rights to use the application.If Microsoft disables the ability to use the applications on your devices pursuant to your agreement with Microsoft, any associated license rights will terminate.The application publisher reserves all other rights.Unless applicable law gives you more rights despite this limitation, you may use the application only as expressly permitted in this agreement.",Microsoft may remotely disabled software you are not licensed to use.,,True,50.0,bad,The service disables software that you are not licensed to use.
https://www.microsoft.com,47.0,,1255,,Services Agreement,"We may also block delivery of a communication (like email, file sharing or instant message) to or from the Services in an effort to enforce these Terms or we may remove or refuse to publish Your Content for any reason.",The service can delete specific content without prior notice and without a reason,,True,50.0,blocker,The service can delete specific content without reason and may do it without prior notice
https://www.microsoft.com,47.0,,1581,,Privacy Statement,"Likewise, where we need to collect personal data by law or to enter into or carry out a contract with you, and you do not provide the data, we will not be able to enter into the contract.or if this relates to an existing product youre using, we may have to suspend or cancel it.We will notify you if this is the case at the time.",The service can delete your account without prior notice and without a reason,,True,60.0,bad,The service can delete your account without prior notice and without a reason
https://www.microsoft.com,47.0,,10057,,Privacy Statement,Access and clear some of your data through the Microsoft privacy dashboard.,You can request access and deletion of personal data,,True,50.0,good,You can request access and deletion of personal data
https://www.microsoft.com,47.0,,10894,,Privacy Statement,We also obtain data from third parties.,This service gathers information about you through third parties,,True,50.0,bad,This service gathers information about you through third parties
https://www.microsoft.com,47.0,,10895,,Privacy Statement,"Microsoft uses the data we collect to provide you rich, interactive experiences.In particular, we use data to:Provide our products, which includes updating, securing, and troubleshooting, as well as providing support.It also includes sharing data, when it is required to provide the service or carry out the transactions you request.Improve and develop our products.Personalize our products and make recommendations.Advertise and market to you, which includes sending promotional communications, targeting advertising, and presenting you relevant offers.",This service may use your personal information for marketing purposes,,True,50.0,bad,This service may use your personal information for marketing purposes
https://www.microsoft.com,47.0,,10896,,Privacy Statement,"We also use the data to operate our business, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.",Your personal data is aggregated into statistics,,True,10.0,neutral,Your personal data is aggregated into statistics
https://www.spotify.com,121.0,,719,,Terms and Conditions of Use,"Remember that shared or publicly available information may be used and re-shared by other users on Spotify or across the web, so please use Spotify carefully and be mindful of your account settings.Spotify has no responsibility for your choices to post material on the Service.",Spotify states risks of public information,https://www.spotify.com/us/legal/end-user-agreement/,True,40.0,good,The service informs users about the risk of publishing personal info online
https://www.spotify.com,121.0,,741,,Privacy Policy,"We implement appropriate technical and organisational measures to help protect the security of your personal data.however, please note that no system is ever completely secure.","The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",https://www.spotify.com/us/legal/privacy-policy/,True,30.0,bad,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service"
https://www.spotify.com,121.0,,852,,Terms and Conditions of Use,"Spotify may terminate the Agreements or suspend your access to the Spotify Service at any time, including in the event of your actual or suspected unauthorized use of the Spotify Service and/or Content, or non-compliance with the Agreements",Spotify can delete your account without telling you,https://www.spotify.com/us/legal/end-user-agreement/,True,60.0,bad,The service can delete your account without prior notice and without a reason
https://www.spotify.com,121.0,,855,,Privacy Policy,"We share your personal data when we in good faith believe it is necessary for us to do so in order to comply with a legal obligation under applicable law, or respond to valid legal process, such as a search warrant, a court order, or a subpoena",No promise to inform about government requests,https://www.spotify.com/us/legal/privacy-policy/,True,50.0,bad,This service reserves the right to disclose your personal information without notifying you
https://www.spotify.com,121.0,,12744,,Terms and Conditions of Use,"Where applicable and permitted under applicable law, you also agree to waive and not enforce any moral rights or equivalent rights, such as your right to be identified as the author of any User Content, including Feedback, and your right to object to derogatory treatment of such User Content.",You waive your moral rights,https://www.spotify.com/us/legal/end-user-agreement/,True,50.0,blocker,You waive your moral rights
https://www.spotify.com,121.0,,12747,,Terms and Conditions of Use,"pornographic, threatening, or obscene.",Prohibits the posting of pornographic content,https://www.spotify.com/us/legal/end-user-agreement/,True,15.0,neutral,Prohibits the posting of pornographic content
https://www.spotify.com,121.0,,12754,,Terms and Conditions of Use,"Sections 7, 8, 9, 11, 15, 16, 17, 18, 19, 20, 21, 22, 23, and 24 herein, as well as any other sections of the Agreements that, either explicitly or by their nature, must remain in effect even after termination of the Agreements, shall survive termination.","defend, indemnify, hold harmless; survives termination",https://www.spotify.com/us/legal/end-user-agreement/,True,80.0,bad,"defend, indemnify, hold harmless; survives termination"
