,class,support,cat,allsub,sub,val,allsub_sub,allsub_val,sub_val,allsub_sub_val
0,Data Retention,15,0.4210526315789474,0.4210526315789474,0.4210526315789474,0.4210526315789474,0.4210526315789474,0.4210526315789474,0.4210526315789474,0.4210526315789474
1,Data Security,51,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999
2,Do Not Track,8,0.5454545454545454,0.5454545454545454,0.4,0.5454545454545454,0.4,0.5454545454545454,0.5454545454545454,0.5454545454545454
3,First Party Collection/Use,290,0.922279792746114,0.922279792746114,0.9241379310344827,0.922279792746114,0.9225473321858864,0.922279792746114,0.9225473321858864,0.9225473321858864
4,International and Specific Audiences,77,0.9281045751633986,0.9281045751633986,0.935064935064935,0.9281045751633986,0.935064935064935,0.9281045751633986,0.935064935064935,0.935064935064935
5,Other,222,0.7767857142857142,0.7767857142857142,0.780269058295964,0.7767857142857142,0.780269058295964,0.7767857142857142,0.7787610619469026,0.7787610619469026
6,Policy Change,32,0.8771929824561403,0.8771929824561403,0.896551724137931,0.8771929824561403,0.896551724137931,0.8771929824561403,0.896551724137931,0.896551724137931
7,Third Party Sharing/Collection,229,0.8695652173913043,0.8695652173913043,0.8808988764044944,0.8695652173913043,0.8808988764044944,0.8695652173913043,0.8808988764044944,0.8808988764044944
8,"User Access, Edit and Deletion",34,0.78125,0.78125,0.7999999999999999,0.78125,0.7999999999999999,0.78125,0.7999999999999999,0.7999999999999999
9,User Choice/Control,98,0.7764705882352941,0.7764705882352941,0.8044692737430168,0.7764705882352941,0.8044692737430168,0.7764705882352941,0.8044692737430168,0.8044692737430168
10,macro avg,1056,0.7773156047311459,0.7773156047311459,0.7717444430259771,0.7773156047311459,0.7715853831411175,0.7773156047311459,0.7859800380516659,0.7859800380516659
11,micro avg,1056,0.8525073746312685,0.8525073746312685,0.8596491228070176,0.8525073746312685,0.859230394544569,0.8525073746312685,0.8592233009708737,0.8592233009708737
12,samples avg,1056,0.8660299625468164,0.8660299625468164,0.8751310861423219,0.8660299625468164,0.8747565543071161,0.8660299625468164,0.8757677902621723,0.8757677902621723
13,weighted avg,1056,0.848989843239553,0.848989843239553,0.8558844764311051,0.848989843239553,0.8554476642473049,0.848989843239553,0.8562325706622147,0.8562325706622147
