,k,split_method,train_segments,micro_f1,macro_f1,tr_Data Retention,tr_Data Security,tr_Do Not Track,tr_First Party Collection/Use,tr_International and Specific Audiences,tr_Other,tr_Policy Change,tr_Third Party Sharing/Collection,"tr_User Access, Edit and Deletion",tr_User Choice/Control,te_Data Retention,te_Data Security,te_Do Not Track,te_First Party Collection/Use,te_International and Specific Audiences,te_Other,te_Policy Change,te_Third Party Sharing/Collection,"te_User Access, Edit and Deletion",te_User Choice/Control
0,0,iterative,2819,84.54198473282443,76.84835429599215,58,158,23,907,226,794,89,709,112,268,20,52,8,302,75,264,30,236,37,90
1,1,iterative,2808,83.68594264221909,81.79809635165556,58,158,23,907,226,794,89,709,112,269,20,52,8,302,75,264,30,236,37,89
2,2,iterative,2806,83.88312912346841,78.67261147308182,59,157,23,907,226,794,89,709,112,269,19,53,8,302,75,264,30,236,37,89
3,3,iterative,2801,83.88003748828493,78.88750563321628,58,158,23,907,226,794,89,709,112,269,20,52,8,302,75,264,30,236,37,89
4,4,iterative,2802,83.81311939594148,78.71335843943348,59,157,23,907,226,794,89,709,112,268,19,53,8,302,75,264,30,236,37,90
5,5,iterative,2806,84.31924882629107,79.55901152027874,58,158,23,907,226,793,89,709,112,268,20,52,8,302,75,265,30,236,37,90
6,6,iterative,2811,85.17110266159695,82.267735143157,58,157,23,907,226,794,89,709,112,269,20,53,8,302,75,264,30,236,37,89
7,7,iterative,2800,85.22888154789996,81.69271652326744,58,157,23,907,226,794,89,709,112,269,20,53,8,302,75,264,30,236,37,89
8,8,iterative,2806,84.0620592383639,79.45805564222326,59,158,23,907,226,793,89,709,112,268,19,52,8,302,75,265,30,236,37,90
9,9,iterative,2803,84.73138548539116,79.94584143863152,58,158,23,907,226,794,89,709,112,268,20,52,8,302,75,264,30,236,37,90
10,10,iterative,2791,84.41926345609065,80.57219424944938,59,157,23,907,226,794,89,709,112,269,19,53,8,302,75,264,30,236,37,89
11,11,iterative,2810,84.45078459343794,78.29754348108798,58,158,23,907,226,793,89,709,112,268,20,52,8,302,75,265,30,236,37,90
12,12,iterative,2805,84.33506862281116,79.6246535612467,58,157,23,907,226,793,89,709,112,268,20,53,8,302,75,265,30,236,37,90
13,13,iterative,2822,84.8456057007126,79.39121905302892,58,157,23,907,226,793,89,709,112,268,20,53,8,302,75,265,30,236,37,90
14,14,iterative,2802,84.98342018000946,80.76213117353332,58,158,23,907,226,794,89,709,112,269,20,52,8,302,75,264,30,236,37,89
15,0,uid,2735,83.3976833976834,78.17521444145605,57,153,20,895,204,818,85,651,107,255,21,57,11,314,97,240,34,294,42,103
16,1,uid,2771,82.72685398433902,79.02208131463175,50,164,24,887,235,799,90,721,106,260,28,46,7,322,66,259,29,224,43,98
17,2,uid,2649,83.25937878176684,78.17354486667519,61,143,18,879,204,761,83,674,99,238,17,67,13,330,97,297,36,271,50,120
18,3,uid,2410,82.18992903007772,76.18068817180495,43,129,21,795,200,664,81,619,90,238,35,81,10,414,101,394,38,326,59,120
19,4,uid,2925,85.65264293419634,82.2473068800631,63,171,25,964,230,844,91,713,115,284,15,39,6,245,71,214,28,232,34,74
20,5,uid,2616,82.98039215686276,76.33083300716595,57,156,21,861,204,759,86,617,108,242,21,54,10,348,97,299,33,328,41,116
21,6,uid,2691,82.76436303080766,78.22453877904269,59,162,20,869,218,773,88,642,99,262,19,48,11,340,83,285,31,303,50,96
22,7,uid,2709,83.44594594594594,78.31242076503243,58,158,25,849,220,791,92,656,110,256,20,52,6,360,81,267,27,289,39,102
23,8,uid,2699,81.96308724832214,73.96229170628656,60,147,25,881,226,761,90,676,107,247,18,63,6,328,75,297,29,269,42,111
24,9,uid,2844,84.34217108554279,80.47003104704464,60,163,22,916,218,838,91,713,111,272,18,47,9,293,83,220,28,232,38,86
25,10,uid,2675,82.69867549668875,79.24984625952665,49,155,21,882,216,778,87,640,108,242,29,55,10,327,85,280,32,305,41,116
26,11,uid,2725,83.71893744644387,78.23126927435645,57,158,21,897,195,797,84,656,114,268,21,52,10,312,106,261,35,289,35,90
27,12,uid,2719,84.05172413793103,78.36668461310015,66,155,23,873,205,784,86,693,111,269,12,55,8,336,96,274,33,252,38,89
28,13,uid,2603,83.02912621359224,77.3691202703551,50,151,23,827,217,736,90,674,106,251,28,59,8,382,84,322,29,271,43,107
29,14,uid,2665,83.76703841387855,78.45426515158674,59,159,22,856,225,772,88,681,103,251,19,51,9,353,76,286,31,264,46,107
